check_number,name,date,species,year,country,discoverer ,lat,long,link,image,ref,ref_link,CHECK
135,Talgai Skull,10±1,Homo sapiens,1886,Australia,n/a,-28.0505,151.9333,"<a href=""HERE"">Click here for more info</a>",,Allen 2010 The Curious History of the Talgai Skull,https://www.archaeologybulletin.org/articles/10.5334/bha.20202/,
136,Tam Pa Ling Cave,54.5±8.5,Homo sapiens,2009,Laos,n/a,20.208611,103.409722,"<a href=""HERE"">Click here for more info</a>",,,,
137,Tandou,17,Homo sapiens,1967,Australia,Duncan Merrilees,-32.349722,142.368889,"<a href=""HERE"">Click here for more info</a>",,https://www.jstor.org/stable/40386634?seq=1#metadata_info_tab_contents,,
138,Taung Child 1,3.03 - 2.61,Australopithecus africanus,1924,"Buxton-Norlim Limeworks, South Africa",Raymond Dart,-27.533333,24.785556,"<a href=""HERE"">Click here for more info</a>",,,,
139,Teshik-Tash Skull,70,Homo neanderthalensis,1938,Uzbekistan,A. Okladnikov,37.965833,67.156389,"<a href=""HERE"">Click here for more info</a>",,,,
140,Tighennif,0.7,Homo erectus,1954,Algeria,C. Arambourg & B. Hoffstetter,35.416667,0.333333,"<a href=""HERE"">Click here for more info</a>",,,,
141,TM 1517,unknown,Paranthropus robustus,1938,South Africa,Gert Terblanche,-25.929167,27.788889,"<a href=""HERE"">Click here for more info</a>",,,,
142,TM 266,7.00-6.00,Sahelanthropus tchadensis,2001,ChadSite:Djurab Desert,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",17,18,"<a href=""HERE"">Click here for more info</a>",,,,location estimated
143,Trinil 2,0.850±0.150,Homo erectus,1891,Indonesia,EugËne Dubois,-7.3743,111.3578,"<a href=""HERE"">Click here for more info</a>",,,,
144,UR 501 (Uraha jawbone),2.40±0.10,Homo rudolfensis,1991,Malawi,"Tyson Msiska, Timothy Bromage, Friedemann Schrenk",-10.77411978,34.12460122,"<a href=""HERE"">Click here for more info</a>",,,,location estiamted
145,Vertesszolos ,275±25,Homo heidelbergensis,1964,Hungary,L√°szl√≥ V√©rtes,47.627,18.384,"<a href=""HERE"">Click here for more info</a>",,,,
146,Villabruna 1,14,Homo sapiens,1988,Italy,n/a,46.084278,11.764333,"<a href=""HERE"">Click here for more info</a>",,,,
147,Wadjak 1,33±4.5,Homo sapiens,1888,Indonesia,n/a,-8.066667,111.9,"<a href=""HERE"">Click here for more info</a>",,,,
148,WLH-50,29±5,Homo sapiens,1982,Australia,n/a,-34,143,"<a href=""HERE"">Click here for more info</a>",,,,
149,Xiahe mandible,160,Uncertain,1980,China,n/a,35.448056,102.571389,"<a href=""HERE"">Click here for more info</a>",,,,
150,Yamashita-Cho Man,32,Homo sapiens,1962,Japan,n/a,26.200833,127.672839,"<a href=""HERE"">Click here for more info</a>",,,,
151,Yuanmou,1.70or 0.60Äì0.50(disputed)[42],Homo erectus,1965,China,Fang Qian,25.717778,101.861111,"<a href=""HERE"">Click here for more info</a>",,,,
152,ATE9-1,1.2 ma,Homo sp.,2008,Spain,,42.366667,-3.522222,"<a href=""HERE"">Click here for more info</a>",,Carbonell et al. 2008,https://www.nature.com/articles/nature06815,need to check
153,ATE9-2,1.2 ma,Homo sp.,2008,Spain,,42.366667,-3.522222,"<a href=""HERE"">Click here for more info</a>",,lorenzo et al 2015,https://www.sciencedirect.com/science/article/pii/S0047248414001857,need to check
